ID_Producto_Generado,Marca,Nombre_Producto,Precio_MXN,Moneda,URL_Imagen_Principal,Genero,Categoria_Producto,Coleccion_Fuente
BSK-JNS-011,Bershka,Jeans baggy balloon leg (Petite),166,MXN,https://static.zara.net/assets/public/495b/d1a1/b7b843739575/7d7c0c09e997/06147194427-e1/06147194427-e1.jpg?ts=1760684844644&w=375,Mujer,Jeans & Denim,Sale
BSK-JNS-012,Bershka,Low rise straight leg jeans mid wash,155,MXN,https://static.zara.net/assets/public/2ecd/c2ad/795645038f2f/16addfdf76ec/08727220428-a1/08727220428-a1.jpg?ts=1763643977807&w=563,Mujer,Jeans & Denim,Sale
BSK-JNS-013,Bershka,High waisted super wide leg jeans,180,MXN,https://s7d2.scene7.com/is/image/aeo/0437_5939_074_of?$pdp-md-opt$&fmt=webp,Mujer,Jeans & Denim,Sale
BSK-JNS-014,Bershka,Jeans mid rise wide leg dad jeans,131,MXN,https://img.abercrombie.com/is/image/anf/KIC_155-5089-00802-276_life1?policy=product-extra-large,Mujer,Jeans & Denim,Sale
BSK-JNS-015,Bershka,Petite slouchy baggy jeans washed,191,MXN,https://static.bershka.net/assets/public/0104/fedd/5e634e0baf59/339b9a8283c2/00019180428-p/00019180428-p.jpg?ts=1762167192763&w=1920,Mujer,Jeans & Denim,Sale
PB-TSH-016,Pull&Bear,Playera Stranger Things Hawkins,349,MXN,https://static.pullandbear.net/assets/public/66a4/5c2d/a4784fe19467/70971c608a18/07154331805-A6M/07154331805-A6M.jpg?ts=1758493077914&w=994&f=auto,Mujer,Playeras,Licencia TV
PB-TSH-017,Pull&Bear,Playera Stranger Things luminiscente,349,MXN,https://static.pullandbear.net/assets/public/2f1c/e6c0/a08040bda78d/a4ae380eb4ac/07154330833-A6M/07154330833-A6M.jpg?ts=1758493075002&w=994&f=auto,Mujer,Playeras,Licencia TV
PB-TSH-018,Pull&Bear,Playera Pink Floyd,349,MXN,https://static.pullandbear.net/assets/public/2ef2/4c5d/eab140218fde/a472398d7796/07150389833-A20M/07150389833-A20M.jpg?ts=1757314473122&w=984&f=auto,Mujer,Playeras,Licencia Música
PB-TSH-019,Pull&Bear,Playera Nirvana,349,MXN,https://www.pullandbear.com/mx/playera-el-juego-del-calamar-l07150449,Mujer,Playeras,Licencia Música
PB-TSH-020,Pull&Bear,Playera El Juego del Calamar,349,MXN,https://www.pullandbear.com/mx/playera-el-juego-del-calamar-l07150449,Mujer,Playeras,Licencia TV
PB-TSH-021,Pull&Bear,Playera doble manga encaje,299,MXN,https://static.pullandbear.net/assets/public/b8a4/bd63/aa344bbf97da/df86600d7f7d/07151390620-A6M/07151390620-A6M.jpg?ts=1757494208278&w=984&f=auto,Mujer,Playeras,Trends
PB-TSH-022,Pull&Bear,Playera negra texto strass,349,MXN,https://static.pullandbear.net/assets/public/ee54/00d5/795b44b4964e/08c6ac9a6cb8/07153328800-M/07153328800-M.jpg?ts=1763569749575&w=998&f=auto,Mujer,Playeras,Party/Night
PB-TSH-023,Pull&Bear,Playera manga doble texto,299,MXN,https://static.pullandbear.net/assets/public/1e13/f121/aab84b288e13/c00dd4107400/07152355807-A3M/07152355807-A3M.jpg?ts=1755500408678&w=984&f=auto,Mujer,Playeras,Streetwear
PB-TSH-024,Pull&Bear,Polo rayas manga larga,399,MXN,https://static.pullandbear.net/assets/public/fd6e/bacc/af1a482bb10e/30071d1bf519/07200513401-A6M/07200513401-A6M.jpg?ts=1759158951258&w=984&f=auto,Mujer,Playeras,Preppy
PB-TSH-025,Pull&Bear,Playera estrellas texto,249,MXN,https://static.pullandbear.net/assets/public/0228/46c5/550440c48598/dbabaef310fb/0715230883300-A7M/0715230883300-A7M.jpg?ts=1762450730785&w=984&f=auto,Mujer,Playeras,Y2K
PB-TSH-026,Pull&Bear,Playera básica manga corta,199,MXN,https://oldnavymx.vtexassets.com/arquivos/ids/398365-1600-2000?width=1600&height=2000&aspect=true,Mujer,Playeras,Básicos
PB-TSH-027,Pull&Bear,Playera amarilla rayas,229,MXN,https://static.pullandbear.net/assets/public/dbdd/639f/a0a7402bbe68/f33f09cc0567/07150328321-M/07150328321-M.jpg?ts=1748964335519&w=984&f=auto,Mujer,Playeras,Summer
PB-TSH-028,Pull&Bear,Playera rayas gráfico,299,MXN,https://static.pullandbear.net/assets/public/28e8/ef63/7e894251be0e/e38df7118043/0715132410400-A7M/0715132410400-A7M.jpg?ts=1752154334577&w=984&f=auto,Mujer,Playeras,Casual
PB-TSH-029,Pull&Bear,Camiseta básica ajustada,179,MXN,https://static.pullandbear.net/assets/public/ba31/5e00/834b4695898b/9f37187469fb/07150303104-M/07150303104-M.jpg?ts=1761651665669&w=984&f=auto,Mujer,Playeras,Básicos
PB-TSH-030,Pull&Bear,Playera ajustada poliamida,249,MXN,https://static.pullandbear.net/assets/public/29eb/7529/d6a6436aa45f/8c0e3ff8defc/07152307800-M/07152307800-M.jpg?ts=1756972107319&w=984&f=auto,Mujer,Tops,Seamless
PB-TSH-031,Pull&Bear,Top bambula,399,MXN,https://static.pullandbear.net/assets/public/b739/7d35/91f942ea84c3/574669bec938/03248304426-A7M/03248304426-A7M.jpg?ts=1750321964493&w=984&f=auto,Mujer,Tops,Texturas
PB-TSH-032,Pull&Bear,Playera boxy manga larga,299,MXN,https://static.bershka.net/assets/public/9ce9/8672/70044eb2af24/d85dcd7a8531/08082116251-a4o/08082116251-a4o.jpg?ts=1754924750460&w=850&f=auto,Mujer,Playeras,Siluetas
PB-TSH-033,Pull&Bear,Playera manga larga ranglan,349,MXN,https://static.pullandbear.net/assets/public/8dff/9ce0/a63f49bd9576/3dee6788f9dd/07152306104-A3M/07152306104-A3M.jpg?ts=1758204540429&w=984&f=auto,Mujer,Playeras,Sporty
PB-TSH-034,Pull&Bear,Playera oversize,299,MXN,https://static.pullandbear.net/assets/public/55b2/26c0/db784204ab5a/1b061a780897/03245319800-A7M/03245319800-A7M.jpg?ts=1739460444605&w=984&f=auto,Mujer,Playeras,Streetwear
PB-TSH-035,Pull&Bear,Playera estrellas,249,MXN,https://static.zara.net/assets/public/db01/cc69/55374b788198/f46b4526c3ee/02614708401-e1/02614708401-e1.jpg?ts=1754394207491&w=750,Mujer,Playeras,Y2K
PB-TSH-036,Pull&Bear,Playera flor Smiley,299,MXN,https://static.pullandbear.net/assets/public/297b/fcd9/8e544528b9ee/491af8de3811/0715035080500-a7M/0715035080500-a7M.jpg?ts=1747900577026&w=984&f=auto,Mujer,Playeras,Licencia Iconos
PB-TSH-037,Pull&Bear,Playera gráfico granada,299,MXN,https://static.pullandbear.net/assets/public/6c79/8253/ceec40be9f26/e699038037a4/07152373676-A3M/07152373676-A3M.jpg?ts=1754467558388&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-038,Pull&Bear,Playera soft touch frunce lateral,349,MXN,https://static.pullandbear.net/assets/public/051f/32f3/44284d5d9da8/b2c4e48762b9/0715236692200-A7M/0715236692200-A7M.jpg?ts=1756973981809&w=984&f=auto,Mujer,Playeras,Soft Touch
PB-TSH-039,Pull&Bear,Playera STWD cerezas,299,MXN,https://static.pullandbear.net/assets/public/fdc1/cdf3/34304c9981b8/0bd27bd14b49/07150379807-M/07150379807-M.jpg?ts=1752583856892&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-040,Pull&Bear,Playera gráfico Açaí,299,MXN,https://static.pullandbear.net/assets/public/57be/22e1/66dc464abf7e/0047c692d460/07151397401-M/07151397401-M.jpg?ts=1754324080024&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-041,Pull&Bear,Top poliamida cut out frunces,349,MXN,https://static.pullandbear.net/assets/public/3e66/0237/7beb4fef8dc5/ceb25600d2de/03245235681-A1M/03245235681-A1M.jpg?ts=1738231935421&w=984&f=auto,Mujer,Tops,Party
PB-TSH-042,Pull&Bear,Playera Fresh and Tasty,299,MXN,https://static.pullandbear.net/assets/public/7439/e5ad/f3614c108ab0/45d660f87a11/07153223805-M/07153223805-M.jpg?ts=1760083137852&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-043,Pull&Bear,Playera gráfico tropical,299,MXN,https://static.pullandbear.net/assets/public/ed50/5e91/b3df44458343/8da4874d2b33/07152376922-A4M/07152376922-A4M.jpg?ts=1755500466304&w=984&f=auto,Mujer,Playeras,Summer
PB-TSH-044,Pull&Bear,Playera palmera,299,MXN,https://static.pullandbear.net/assets/public/c99e/9d0e/e6534117991e/79ee15b58c71/07152323321-A7M/07152323321-A7M.jpg?ts=1753285302817&w=984&f=auto,Mujer,Playeras,Summer
PB-TSH-045,Pull&Bear,Playera esotérica flor,299,MXN,https://static.pullandbear.net/assets/public/0305/ac49/843341fea510/1edc34fe6fc6/07152317250-M/07152317250-M.jpg?ts=1754313158251&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-046,Pull&Bear,Playera fútbol contraste,399,MXN,https://static.pullandbear.net/assets/public/77b9/f12c/e9234094a53e/a562161c8cb0/07151398620-A6M/07151398620-A6M.jpg?ts=1753551327411&w=984&f=auto,Mujer,Playeras,Sporty Core
PB-TSH-047,Pull&Bear,Playera gráfico cerezas,299,MXN,https://static.pullandbear.net/assets/public/e1ab/b35d/d6364edcbace/9f35ebd95d65/03249356641-A2M/03249356641-A2M.jpg?ts=1745931375593&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-048,Pull&Bear,Playera fútbol 91 STWD,399,MXN,https://www.pullandbear.com/mx/playera-futbol-91-stwd-l03249334,Mujer,Playeras,Sporty Core
PB-TSH-049,Pull&Bear,Playera fútbol 91 rosa STWD,399,MXN,https://www.pullandbear.com/mx/playera-futbol-91-rosa-stwd-l03249335,Mujer,Playeras,Sporty Core
PB-TSH-050,Pull&Bear,Playera estrella de mar,299,MXN,https://static.pullandbear.net/assets/public/4443/453c/ef314c81ab3a/21773f3d3ec5/07150336805-A7M/07150336805-A7M.jpg?ts=1748938127423&w=984&f=auto,Mujer,Playeras,Summer
PB-TSH-051,Pull&Bear,Playera Digital Pet,299,MXN,https://static.pullandbear.net/assets/public/805d/55be/8f674e4988ac/4632edc8c595/07150356251-M/07150356251-M.jpg?ts=1753284090163&w=984&f=auto,Mujer,Playeras,Y2K/Tech
PB-TSH-052,Pull&Bear,Playera amarilla Bahía Brazil,299,MXN,https://static.pullandbear.net/assets/public/8184/5e6d/c0794cad8a1c/bd9069015506/07150347300-A3M/07150347300-A3M.jpg?ts=1748522308281&w=984&f=auto,Mujer,Playeras,Summer/Brazil
PB-TSH-053,Pull&Bear,Playera cropped flor hibiscus,249,MXN,https://static.pullandbear.net/assets/public/a719/7e8b/2bf0403f9d14/89b3b7b4ebbd/03248380805-M/03248380805-M.jpg?ts=1750951546152&w=984&f=auto,Mujer,Playeras,Summer
PB-TSH-054,Pull&Bear,Playera fresa,299,MXN,https://static.pullandbear.net/assets/public/11af/d27f/8e4244e88044/6888dbdd8b96/07150221922-M/07150221922-M.jpg?ts=1752048026984&w=984&f=auto,Mujer,Playeras,Gráficos
PB-TSH-055,Pull&Bear,Playera Placeres Madrid STWD,399,MXN,https://static.pullandbear.net/assets/public/c373/4f53/6d904a16a2cf/7d4839c547f5/07154302805-A7M/07154302805-A7M.jpg?ts=1761138740623&w=984&f=auto,Mujer,Playeras,Colab
PB-TSH-056,Pull&Bear,Pack 2 camisetas escote pico,399,MXN,https://static.pullandbear.net/assets/public/2e6f/25a9/b8744ac3a294/58588f1d7ace/03245431064-A6M/03245431064-A6M.jpg?ts=1733842187255&w=984&f=auto,Mujer,Playeras,Básicos Pack
PB-TSH-057,Pull&Bear,Napkin Graphic T-shirt - Gray,520,MXN,https://static.zara.net/assets/public/2e57/58e4/6812448a9cec/acbc831cb2be/06050034807-p/06050034807-p.jpg?ts=1759488489079&w=750,Mujer,Playeras,Gráficos
PB-SKT-058,Pull&Bear,Drop Waist Ruffle Skort - Black,640,MXN,https://static.pullandbear.net/assets/public/9492/4972/46c844c4a421/42e44aadcf0d/07696358800-A7M/07696358800-A7M.jpg?ts=1761209123503&w=984&f=auto,Mujer,Faldas,Trends
PB-TSH-059,Pull&Bear,Soft Touch Cinched Waist T-Shirt,520,MXN,https://www.asos.com/pullbear/pullbear-soft-touch-cinched-waist-t-shirt-in-black/prd/208635037,Mujer,Tops,Soft Touch
PB-BLU-060,Pull&Bear,Ruffle Detail Blouse - White,640,MXN,https://static.zara.net/assets/public/b106/996d/3b644746a878/f94d03452ca1/08372243250-p/08372243250-p.jpg?ts=1756313907618&w=750,Mujer,Blusas,Romantic
PB-TSH-061,Pull&Bear,Van Gogh Graphic Tee - White,520,MXN,https://www.asos.com/pullbear/pullbear-van-gogh-graphic-tee-in-ecru/prd/208744884,Mujer,Playeras,Art License
PB-SKT-062,Pull&Bear,Sequin Detail Tiered Maxi Skirt,700,MXN,https://www.asos.com/pullbear/pullbear-sequin-detail-tiered-maxi-skirt-in-white/prd/208744892,Mujer,Faldas,Party
PB-JNS-063,Pull&Bear,Wide Leg Jeans - Blue,800,MXN,https://static.zara.net/assets/public/6bfa/22f4/778a4175b7cb/e94e2e0d81cb/04441723400-e1/04441723400-e1.jpg?ts=1749639647043,Mujer,Jeans,Denim
PB-SHO-064,Pull&Bear,Longline Raw Hem Denim Short,720,MXN,https://www.asos.com/pullbear/pullbear-longline-raw-hem-denim-short-in-white/prd/208699916,Mujer,Shorts,Denim
PB-TOP-065,Pull&Bear,Denim Halterneck Top - Blue,720,MXN,https://static.zara.net/assets/public/4df1/2112/5c1a4575be1b/dce40e183d6b/05216248407-p/05216248407-p.jpg?ts=1753184937162&w=750,Mujer,Tops,Denim
PB-TSH-066,Pull&Bear,Cinched Waist T-shirt - Black,480,MXN,https://images.asos-media.com/products/asos-design-shoulder-pad-cinch-waist-t-shirt-in-black/208141813-1-black?$n_640w$&wid=513&fit=constrain,Mujer,Playeras,Básicos
PB-SHT-067,Pull&Bear,Oversized Contrast Striped Shirt,680,MXN,https://www.asos.com/us/pullbear/pullbear-oversized-contrast-striped-shirt-in-blue/prd/208481984,Mujer,Camisas,Oversize
PB-DRS-068,Pull&Bear,Lace Trim Detail Tiered Mini Dress,680,MXN,https://www.asos.com/pullbear/pullbear-lace-trim-detail-tiered-mini-dress-in-white/prd/208699921,Mujer,Vestidos,Summer
PB-DRS-069,Pull&Bear,Long Sleeve Ruffle Mini Dress,760,MXN,"https://images.express.com/is/image/expressfashion/0094_07853595_0121_f001?cache=on&wid=480&fmt=jpeg&qlt=85,1&resmode=sharp2&op_usm=1,1,5,0&defaultImage=Photo-Coming-Soon",Mujer,Vestidos,Party
PB-JNS-070,Pull&Bear,Baggy Jean With Tie Waist Detail,840,MXN,https://images.asos-media.com/products/pullbear-baggy-jean-with-tie-waist-detail-in-blue/208673086-1-blue?$n_640w$&wid=513&fit=constrain,Mujer,Jeans,Baggy
PB-DRS-071,Pull&Bear,Ruffle Detail Strappy Mini Dress,520,MXN,https://images.asos-media.com/products/bershka-ruffle-detail-strappy-mini-dress-in-white/206719880-1-white?$n_640w$&wid=513&fit=constrain,Mujer,Vestidos,Summer
PB-TRS-072,Pull&Bear,Lightweight Rustic Tailored Wide Leg,720,MXN,https://static.pullandbear.net/assets/public/dfc1/6399/67064fdb9e18/e73c40cf32b0/07678535802-A6M/07678535802-A6M.jpg?ts=1756312558169&w=984&f=auto,Mujer,Pantalones,Rústico
PB-BLU-073,Pull&Bear,Ruffle Detail Blouse Lace Co-ord,640,MXN,https://images.asos-media.com/products/pullbear-ruffle-detail-blouse-with-lace-co-ord-in-ecru/208634843-1-ecru?$n_640w$&wid=513&fit=constrain,Mujer,Blusas,Co-ord
PB-SKT-074,Pull&Bear,Lace Detail Tiered Mini Skirt Co-Ord,640,MXN,https://www.asos.com/pullbear/pullbear-lace-detail-tiered-mini-skirt-co-ord-in-ecru/prd/208634815,Mujer,Faldas,Co-ord
PB-TOP-075,Pull&Bear,Linen Look Bandeau Top Co-ord,260,MXN,https://www.asos.com/pullbear/pullbear-linen-look-bandeau-top-co-ord-in-stone/prd/208541446,Mujer,Tops,Lino/Verano
PB-DRS-076,Pull&Bear,Polyamide Gathered Detail Mini Dress,560,MXN,https://static.pullandbear.net/assets/public/33a4/bcb8/29714d12b52c/80a9215adacd/03397315800-A7M/03397315800-A7M.jpg?ts=1750424060025&w=984&f=auto,Mujer,Vestidos,Poliamida
PB-TSH-077,Pull&Bear,Polyamide Short Sleeve Baby Tee,260,MXN,https://www.asos.com/us/pullbear/pullbear-polyamide-short-sleeve-baby-tee-in-white/prd/206367765,Mujer,Playeras,Baby Tee
PB-JNS-078,Pull&Bear,Mid Rise Straight Leg Jeans Black,920,MXN,https://images.asos-media.com/products/pullbear-mid-rise-straight-leg-jeans-in-black/207471342-5?$n_640w$&wid=513&fit=constrain,Mujer,Jeans,Básicos
PB-JNS-079,Pull&Bear,High Rise Wide Leg Jean - Blue,960,MXN,https://s7d2.scene7.com/is/image/aeo/0437_5350_857_of?$pdp-m-opt$,Mujer,Jeans,Wide Leg
PB-SKT-080,Pull&Bear,Tie Side Detail Mini Skirt - Natural,600,MXN,https://cdn.media.amplience.net/i/ego/2024_05_16_amber_-_aj0515_s_nc_base__33014?fmt=auto&qlt=default&w=auto&h=auto,Mujer,Faldas,Summer
PB-TOP-081,Pull&Bear,Cross Front Bikini Top Co-ord,520,MXN,https://www.asos.com/us/pullbear/pullbear-denim-shorts-with-frayed-hem-in-black/prd/23297343,Mujer,Baño,Swimwear
PB-SHO-082,Pull&Bear,Denim Shorts With Frayed Hem,660,MXN,https://www.asos.com/pullbear/pullbear-denim-halterneck-top-in-dark-blue-rinse/prd/208699917,Mujer,Shorts,Denim
PB-TOP-083,Pull&Bear,Lace Halterneck Top Co-ord - Red,720,MXN,https://www.motelrocks.com/cdn/shop/files/MAGGHA-TOP-MARI-LACE-RED-_-ROOMY-EXTRA-WIDE-LOW-RISE-EXTREME-BLUE-GREEN-4.jpg?crop=center&height=1012&v=1725330916&width=800,Mujer,Tops,Party
BSK-CHA-084,Bershka,Chamarra Bomber Rosa Piel Sintética,1800,MXN,https://http2.mlstatic.com/D_NQ_NP_930828-MLM73466512173_122023-O.webp,Mujer,Chamarras,Oversize
BSK-CHA-085,Bershka,Abrigo Chamarra Pelo Azul Premium,1599,MXN,https://http2.mlstatic.com/D_NQ_NP_862936-MLM81914769160_012025-O.webp,Mujer,Abrigos,Premium
BSK-CHA-086,Bershka,Chamarra Bomber Oversize (Resale),899,MXN,https://static.pullandbear.net/assets/public/c5a0/a56b/a7864a5cbcfb/85843e0fcaf6/07701527065-A6M/07701527065-A6M.jpg?ts=1760965694722&w=984&f=auto,Mujer,Chamarras,Resale
PB-DRS-087,Pull&Bear,Vestido Largo Ajustado Manga Larga,850,MXN,https://image.hm.com/assets/hm/59/50/5950d5569679e90a504ec0377fe3b2d58cee959f.jpg?imwidth=1536,Mujer,Vestidos,Poliamida
PB-BLU-088,Pull&Bear,Blusa tirantes blanca,228,MXN,https://image.hm.com/assets/hm/6d/4f/6d4fb121d15007ca97db01bcda493384130e8eb1.jpg?imwidth=1536,Mujer,Blusas,Resale/New
PB-KNT-089,Pull&Bear,Rough rugged knit sweater,799,MXN,https://i.etsystatic.com/18114422/r/il/145dc7/3375861357/il_fullxfull.3375861357_fjmf.jpg,Mujer,Knitwear,Invierno
PB-KNT-090,Pull&Bear,Simple polished sweater,599,MXN,https://gloimg.zafcdn.com/zaful/pdm-product-pic/Clothing/2019/09/10/source-img/20190910181758_77306.jpg?impolicy=high,Mujer,Knitwear,Básicos
PB-JNS-091,Pull&Bear,Barrel Jeans Mit Tiefem Bund (Blue),899,MXN,https://images.asos-media.com/products/asos-design-barrel-leg-jeans-in-indigoblau-mit-tiefem-bund/207694211-1-blue?$n_640w$&wid=513&fit=constrain,Mujer,Jeans,Barrel
PB-JNS-092,Pull&Bear,Barrel Jeans Mit Tiefem Bund (White),899,MXN,https://tommy-europe.scene7.com/is/image/TommyEurope/WW0WW49500_1CD_alternate1?$b2c_updp_zoomThumb_540$,Mujer,Jeans,Barrel
PB-JNS-093,Pull&Bear,Baggy Jeans Silver Finish (Gray),899,MXN,https://static.pullandbear.net/assets/public/5434/fb43/60ae462ba14f/42142368c93b/07675386808-A2M/07675386808-A2M.jpg?ts=1761148018871&w=998&f=auto,Mujer,Jeans,Metallic
PB-JNS-094,Pull&Bear,Corduroy Jeans (White),899,MXN,"https://lsco.scene7.com/is/image/lsco/187590142-front-pdp?fmt=jpeg&qlt=70&resMode=sharp2&fit=crop,1&op_usm=0.6,0.6,8&wid=2000&hei=2500",Mujer,Jeans,Pana/Cord
PB-JNS-095,Pull&Bear,Corduroy Jeans (Gray),899,MXN,https://n.nordstrommedia.com/it/0aa92a34-b118-469d-b6bd-29b94392a79e.jpeg?h=368&w=240&dpr=2,Mujer,Jeans,Pana/Cord
PB-SNE-096,Pull&Bear,Sneaker White (Basic),799,MXN,https://static.zara.net/assets/public/fb3b/35fe/3a8442599815/8180ed3b9ed2/12215520001-080-ult31/12215520001-080-ult31.jpg?ts=1753884286702&w=352,Mujer,Zapatos,Sneakers
PB-SNE-097,Pull&Bear,Retro Sneaker Multicolor,899,MXN,"https://cdn.laredoute.com/cdn-cgi/image/width=500,height=500,fit=pad,dpr=1/products/0/2/7/0273d9eeab296d3756e6efb805a8b3d8.jpg",Mujer,Zapatos,Sneakers
BSK-TOP-098,Bershka,Ribbed knitted hankerchief hem top,212,MXN,https://images.asos-media.com/products/bershka-ribbed-knitted-handkerchief-hem-top-in-ecru/208300329-1-ecru?$n_640w$&wid=513&fit=constrain,Mujer,Tops,Knitwear
PB-TSH-099,Pull&Bear,Playera La Sirenita Disney,310,MXN,https://i.etsystatic.com/41361244/r/il/afca1d/6279167614/il_fullxfull.6279167614_joq6.jpg,Mujer,Playeras,Licencia
PB-TSH-100,Pull&Bear,Playera Chicago Bears NFL,280.33,MXN,https://images.footballfanatics.com/chicago-bears/womens-nike-caleb-williams-navy-chicago-bears-player-game-jersey_ss5_p-201359621+pv-2+u-cmon0drxzisxhgzejxix+v-5azfmq0fathgdcf98o6u.jpg?_hv=2&w=1018,Mujer,Playeras,Licencia NFL
